c3-hc  375.9    1.0970      SOURCE3_SOURCE5  133628	 0.0015
c3-hx  386.5    1.0910      SOURCE3_SOURCE5    6495	 0.0022
c3-i    89.0    2.2120      SOURCE1_SOURCE5      35	 0.0128
c3-n1  292.3    1.4330      SOURCE3_SOURCE5       7	 0.0033
c3-n2  259.9    1.4660      SOURCE1_SOURCE5     816	 0.0087
c3-n   263.8    1.4620      SOURCE1_SOURCE5    4576	 0.0061
c3-n3  261.2    1.4650      SOURCE1_SOURCE5   15206	 0.0039
c3-n4  222.6    1.5110      SOURCE1_SOURCE5    2375	 0.0125
c3-na  262.9    1.4630      SOURCE3_SOURCE5    1732	 0.0077
c3-nc  269.3    1.4560              SOURCE3       9	 0.0109
c3-nd  269.3    1.4560              SOURCE3       9	
c3-nh  261.8    1.4640      SOURCE3_SOURCE5    3492	 0.0064
c3-no  206.4    1.5330      SOURCE1_SOURCE5     150	 0.0187
c3-o   438.1    1.3170              SOURCE4       8	 0.0193
c3-oh  293.4    1.4230      SOURCE1_SOURCE5    8884	 0.0067
c3-os  284.8    1.4320      SOURCE1_SOURCE5   17971	 0.0103
c3-p2  169.7    1.8550              SOURCE3       9	 0.0125
c3-p3  168.2    1.8580      SOURCE3_SOURCE5     221	 0.0094
c3-p4  177.6    1.8390      SOURCE3_SOURCE5      45	 0.0106
c3-p5  177.2    1.8390      SOURCE1_SOURCE5     408	 0.0183
c3-px  182.7    1.8290      SOURCE3_SOURCE5      35	 0.0083
c3-py  177.1    1.8400      SOURCE3_SOURCE5      39	 0.0126
c3-s   180.0    1.8450              SOURCE3       4	 0.0185
c3-s4  187.5    1.8310      SOURCE1_SOURCE5     326	 0.0096
c3-s6  200.1    1.8080      SOURCE1_SOURCE5     644	 0.0143
c3-sh  180.8    1.8430      SOURCE3_SOURCE5     189	 0.0058
c3-ss  183.0    1.8390      SOURCE1_SOURCE5    2732	 0.0105
c3-sx  181.6    1.8420      SOURCE3_SOURCE5      99	 0.0121
c3-sy  199.4    1.8090      SOURCE3_SOURCE5     162	 0.0094
ca-ca  378.6    1.3980      SOURCE1_SOURCE5  121206	 0.0061
ca-cc  308.2    1.4560      SOURCE1_SOURCE5    2424	 0.0121
ca-cd  308.2    1.4560      SOURCE1_SOURCE5    2424	 0.0121
ca-ce  286.5    1.4760      SOURCE1_SOURCE5    1750	 0.0089
ca-cf  286.5    1.4760      SOURCE1_SOURCE5    1750	 0.0089
ca-cg  334.1    1.4330      SOURCE1_SOURCE5     318	 0.0029
ca-ch  334.1    1.4330      SOURCE1_SOURCE5     318	 0.0029
ca-cl  182.0    1.7500      SOURCE1_SOURCE5    2919	 0.0059
ca-cp  368.4    1.4060         CORR_SOURCE5    2042	 0.0049
ca-cq  368.4    1.4060         CORR_SOURCE5    2042	 0.0049
ca-cx  267.6    1.4960               5/2017      67	 0.0051
ca-cy  250.0    1.5160               5/2017      27	 0.0058
ca-f   353.6    1.3490      SOURCE1_SOURCE5    1239	 0.0057
ca-h4  390.1    1.0890      SOURCE3_SOURCE5    2643	 0.0010
ca-h5  392.4    1.0880      SOURCE3_SOURCE5     299	 0.0007
ca-ha  395.7    1.0860      SOURCE3_SOURCE5   65456	 0.0010
ca-i   108.3    2.1290      SOURCE1_SOURCE5      61	 0.0076
ca-n1  420.7    1.3350      SOURCE3_SOURCE5       6	 0.0078
ca-n2  476.5    1.3030              SOURCE4       7	 0.0058
ca-n   315.2    1.4120      SOURCE3_SOURCE5    1254	 0.0090
ca-n4  244.0    1.4840      SOURCE1_SOURCE5      28	 0.0065
ca-na  349.5    1.3840      SOURCE1_SOURCE5    2751	 0.0095
ca-nb  414.2    1.3390      SOURCE3_SOURCE5    6806	 0.0055
ca-nc  394.6    1.3520      SOURCE1_SOURCE5    2672	 0.0030
ca-nd  394.6    1.3520      SOURCE1_SOURCE5    2672	 0.0030
ca-ne  320.1    1.4080      SOURCE1_SOURCE5     276	 0.0093
ca-nf  320.1    1.4080      SOURCE1_SOURCE5     276	 0.0093
ca-nh  347.1    1.3860      SOURCE1_SOURCE5    2785	 0.0134
ca-no  257.4    1.4690      SOURCE1_SOURCE5     454	 0.0049
ca-o   606.5    1.2360      SOURCE4_SOURCE5      17	 0.0088
ca-oh  365.6    1.3640      SOURCE1_SOURCE5    3637	 0.0062
ca-os  357.5    1.3700      SOURCE1_SOURCE5    6900	 0.0064
ca-p2  176.9    1.8400              SOUECE3       1	
ca-p3  184.2    1.8260      SOURCE1_SOURCE5     156	 0.0180
ca-p4  194.7    1.8060              SOUECE3       1	
ca-p5  200.8    1.7950      SOURCE1_SOURCE5     577	 0.0028
ca-pe  182.5    1.8290              SOURCE3      10	 0.0042
ca-pf  182.5    1.8290              SOURCE3      10	 0.0042
ca-px  184.5    1.8250              SOURCE3       5	 0.0168
ca-py  189.2    1.8160      SOURCE4_SOURCE5      34	 0.0098
ca-s   244.0    1.7390              SOURCE3       2	
ca-s4  211.5    1.7880              SOURCE1      51	 0.0048
ca-s6  224.8    1.7670      SOURCE1_SOURCE5     258	 0.0041
ca-sh  215.9    1.7810      SOURCE4_SOURCE5      40	 0.0053
ca-ss  216.1    1.7810      SOURCE1_SOURCE5    1016	 0.0068
ca-sx  190.3    1.8250      SOURCE4_SOURCE5      90	 0.0050
ca-sy  209.8    1.7910      SOURCE3_SOURCE5     703	 0.0076
c -c1  303.3    1.4600              SOUECE3       1	
c -c2  368.2    1.4060              SOURCE3       2	 0.0370
c -c   224.4    1.5480      SOURCE1_SOURCE5     254	 0.0090
c -c3  243.2    1.5240      SOURCE1_SOURCE5   12697	 0.0077
c -ca  272.7    1.4910      SOURCE1_SOURCE5    4357	 0.0085
c -cc  295.4    1.4680      SOURCE3_SOURCE5    1864	 0.0130
cc-cc  340.2    1.4280      SOURCE1_SOURCE5    4559	 0.0096
cc-cd  416.1    1.3730      SOURCE3_SOURCE5    8451	 0.0091
cc-ce  309.8    1.4540         CORR_SOURCE5     396	 0.0089
cc-cf  427.7    1.3660         CORR_SOURCE5     156	 0.0107
cc-cg  342.8    1.4260      SOURCE1_SOURCE5     109	 0.0049
cc-ch  341.2    1.4270              SOURCE1     560	
cc-cl  190.1    1.7350         CORR_SOURCE5     137	 0.0076
cc-cx  293.9    1.4690               5/2017      24	 0.0036
c -cd  295.4    1.4680      SOURCE3_SOURCE5    1864	 0.0130
c -ce  280.4    1.4820      SOURCE1_SOURCE5    3022	 0.0115
c -cf  280.4    1.4820      SOURCE1_SOURCE5    3022	 0.0115
cc-f   365.0    1.3410      SOURCE4_SOURCE5      70	 0.0039
c -cg  312.9    1.4510      SOURCE3_SOURCE5      11	 0.0089
c -ch  312.9    1.4510      SOURCE3_SOURCE5      11	 0.0089
cc-h4  403.9    1.0820      SOURCE3_SOURCE5    4457	 0.0016
cc-h5  403.5    1.0820      SOURCE3_SOURCE5     879	 0.0012
cc-ha  400.1    1.0840      SOURCE3_SOURCE5    4706	 0.0018
c -cl  156.2    1.8030      SOURCE3_SOURCE5      16	 0.0187
cc-n2  500.7    1.2900         CORR_SOURCE5     156	 0.0074
cc-n   353.8    1.3810      SOURCE3_SOURCE5    1142	 0.0085
cc-n4  236.7    1.4930              SOURCE4       7	 0.0148
cc-na  354.5    1.3800      SOURCE3_SOURCE5    6739	 0.0088
cc-nc  369.1    1.3690      SOURCE1_SOURCE5    2269	 0.0086
cc-nd  450.7    1.3170      SOURCE3_SOURCE5    4612	 0.0083
cc-ne  356.6    1.3790      SOURCE4_SOURCE5      82	 0.0119
cc-nf  485.1    1.2980         CORR_SOURCE5      41	 0.0113
cc-nh  363.5    1.3730      SOURCE3_SOURCE5     976	 0.0106
cc-no  296.6    1.4290      SOURCE4_SOURCE5     386	 0.0074
cc-oh  389.4    1.3470         CORR_SOURCE5     248	 0.0073
cc-os  367.9    1.3620      SOURCE3_SOURCE5    1859	 0.0083
cc-pd  240.8    1.7330              SOURCE3      84	 0.0161
cc-sh  223.3    1.7690      SOURCE4_SOURCE5      22	 0.0030
cc-ss  232.0    1.7560      SOURCE3_SOURCE5    2011	 0.0134
cc-sx  198.3    1.8110      SOURCE4_SOURCE5      44	 0.0033
cc-sy  214.1    1.7840         CORR_SOURCE5      73	 0.0082
c -cu  360.2    1.4120              SOURCE2       1	
c -cx  261.3    1.5030               5/2017     246	 0.0109
c -cy  221.6    1.5520               5/2017     374	 0.0059
cd-cd  340.2    1.4280      SOURCE1_SOURCE5    4559	 0.0096
cd-ce  427.7    1.3660         CORR_SOURCE5     156	 0.0107
cd-cf  309.8    1.4540         CORR_SOURCE5     396	 0.0089
cd-cg  341.2    1.4270              SOURCE1     560	
cd-ch  342.8    1.4260      SOURCE1_SOURCE5     109	 0.0049
cd-cl  190.1    1.7350         CORR_SOURCE5     137	 0.0076
cd-cx  282.9    1.4800               5/2017      13	 0.0034
cd-cy  259.5    1.5050               5/2017      11	 0.0006
cd-h4  403.9    1.0820      SOURCE3_SOURCE5    4457	 0.0016
cd-h5  403.7    1.0820      SOURCE3_SOURCE5     578	 0.0013
cd-ha  400.1    1.0840      SOURCE3_SOURCE5    4706	 0.0018
cd-n2  500.7    1.2900         CORR_SOURCE5     156	 0.0074
cd-n   353.8    1.3810      SOURCE3_SOURCE5    1142	 0.0085
cd-na  354.5    1.3800      SOURCE3_SOURCE5    6739	 0.0088
cd-nc  450.7    1.3170      SOURCE3_SOURCE5    4612	 0.0083
cd-nd  369.1    1.3690      SOURCE1_SOURCE5    2269	 0.0086
cd-ne  485.1    1.2980         CORR_SOURCE5      41	 0.0113
cd-nh  363.5    1.3730      SOURCE3_SOURCE5     976	 0.0106
cd-oh  389.4    1.3470         CORR_SOURCE5     248	 0.0073
cd-os  367.9    1.3620      SOURCE3_SOURCE5    1859	 0.0083
cd-pc  240.8    1.7330              SOURCE3      84	
cd-ss  232.0    1.7560      SOURCE3_SOURCE5    2011	 0.0134
cd-sy  214.1    1.7840         CORR_SOURCE5      73	 0.0082
ce-ce  306.1    1.4570      SOURCE1_SOURCE5    1000	 0.0092
ce-cf  452.2    1.3510      SOURCE1_SOURCE5    1908	 0.0059
ce-cg  341.2    1.4270      SOURCE1_SOURCE5     238	 0.0053
ce-ch  336.3    1.4310              SOURCE1      22	
ce-cl  174.7    1.7640      SOURCE4_SOURCE5      90	 0.0111
ce-cx  261.3    1.5030               5/2017      26	 0.0077
ce-cy  249.1    1.5170               5/2017      36	 0.0052
ce-h4  385.4    1.0920         CORR_SOURCE5     315	 0.0033
ce-ha  391.4    1.0880      SOURCE3_SOURCE5    2751	 0.0014
ce-n1  461.6    1.3110         CORR_SOURCE5      16	 0.0049
ce-n2  507.0    1.2870      SOURCE1_SOURCE5     896	 0.0038
ce-n   301.7    1.4240         CORR_SOURCE5     209	 0.0059
ce-na  305.3    1.4210      SOURCE4_SOURCE5      11	 0.0050
ce-ne  336.6    1.3940      SOURCE3_SOURCE5      69	 0.0151
ce-nf  489.1    1.2960         CORR_SOURCE5     101	 0.0097
ce-nh  341.7    1.3900         CORR_SOURCE5     300	 0.0133
ce-oh  384.7    1.3500         CORR_SOURCE5      58	 0.0102
ce-os  355.7    1.3710         CORR_SOURCE5      96	 0.0128
ce-p2  190.4    1.8140              SOUECE3       1	
ce-pe  188.2    1.8180              SOURCE3       8	 0.0108
ce-px  186.6    1.8210              SOURCE3       6	 0.0046
ce-py  195.0    1.8060      SOURCE3_SOURCE5      22	 0.0142
ce-s   291.4    1.6800              SOUECE3       1	
ce-ss  215.6    1.7810      SOURCE4_SOURCE5      56	 0.0098
ce-sx  193.9    1.8190      SOURCE3_SOURCE5      30	 0.0101
ce-sy  211.5    1.7880      SOURCE3_SOURCE5      41	 0.0169
c -f   387.8    1.3250              SOURCE2       6	 0.0147
cf-cf  306.1    1.4570      SOURCE1_SOURCE5    1000	 0.0092
cf-cg  336.3    1.4310              SOURCE1      22	
cf-ch  341.2    1.4270      SOURCE1_SOURCE5     238	 0.0053
cf-h4  385.4    1.0920         CORR_SOURCE5     315	 0.0033
cf-ha  391.4    1.0880      SOURCE3_SOURCE5    2751	 0.0014
cf-n1  461.6    1.3110         CORR_SOURCE5      16	 0.0049
cf-n2  507.0    1.2870      SOURCE1_SOURCE5     896	 0.0038
cf-n   301.7    1.4240         CORR_SOURCE5     209	 0.0059
cf-ne  489.1    1.2960         CORR_SOURCE5     101	 0.0097
cf-nf  336.6    1.3940      SOURCE3_SOURCE5      62	 0.0156
cf-nh  341.7    1.3900         CORR_SOURCE5     300	 0.0133
cf-oh  384.7    1.3500         CORR_SOURCE5      58	 0.0102
cf-os  355.7    1.3710         CORR_SOURCE5      96	 0.0128
cf-p2  190.4    1.8140              SOUECE3       1	
cf-pf  188.2    1.8180              SOURCE3       8	
cf-px  186.6    1.8210              SOURCE3       6	
cf-py  195.0    1.8060      SOURCE3_SOURCE5      17	 0.0171
cf-s   291.4    1.6800              SOUECE3       1	
cf-sx  193.9    1.8190      SOURCE3_SOURCE5      25	 0.0105
cf-sy  211.5    1.7880      SOURCE3_SOURCE5      36	 0.0177
cg-cg  421.8    1.3690      SOURCE1_SOURCE5      62	 0.0025
cg-ch  811.5    1.2060      SOURCE1_SOURCE5     156	 0.0023
cg-n1  879.3    1.1570      SOURCE1_SOURCE5     879	 0.0015
cg-ne  435.4    1.3260      SOURCE4_SOURCE5      68	 0.0013
cg-pe  339.4    1.6210              SOURCE3      11	 0.2008
c -h4  350.2    1.1120      SOURCE4_SOURCE5     506	 0.0025
c -h5  361.8    1.1050      SOURCE4_SOURCE5     163	 0.0038
c -ha  368.8    1.1010              SOURCE3      53	 0.0102
ch-ch  421.8    1.3690      SOURCE1_SOURCE5      62	 0.0025
ch-n1  879.3    1.1570      SOURCE1_SOURCE5     879	 0.0015
ch-nf  435.4    1.3260      SOURCE4_SOURCE5      51	 0.0014
ch-pf  339.4    1.6210              SOURCE3      11	
c -i    89.5    2.2090              SOURCE3       4	 0.0365
cl-cl   79.3    2.2670              SOURCE1       2	 0.0395
cl-cx  163.0    1.7880               5/2017      42	 0.0071
cl-cy  160.2    1.7940               5/2017      26	 0.0106
cl-n1  217.6    1.6300              SOUECE3       1	
cl-n2  123.8    1.8190              SOURCE3       6	 0.1020
cl-n3  139.5    1.7770      SOURCE4_SOURCE5      16	 0.0044
cl-n   167.0    1.7160      SOURCE4_SOURCE5      17	 0.0049
cl-n4  149.7    1.7530              SOURCE3       4	 0.0098
cl-na  118.4    1.8350              SOURCE3       7	 0.2083
cl-nh  145.4    1.7630              SOURCE3       1	
cl-no  116.7    1.8400              SOURCE2       1	
cl-o   331.0    1.4830              SOURCE3       4	
cl-oh  169.1    1.6900              SOURCE2       1	
cl-os  149.9    1.7300              SOURCE3       4	
cl-p2  143.5    2.0700              SOURCE3       6	 0.0108
cl-p3  167.8    2.0080              SOURCE1     111	
cl-p4  167.8    2.0080              SOURCE1     111	
cl-p5  167.8    2.0080              SOURCE1     111	
cl-pb  172.6    1.9970              SOURCE1      46	
cl-s   230.4    2.0720              SOURCE1       6	
cl-s2  185.6    2.1610              SOURCE2       1	
cl-s4  230.4    2.0720              SOURCE1       6	
cl-s6  230.4    2.0720              SOURCE1       6	
cl-sh  230.4    2.0720              SOURCE1       6	
cl-ss  230.4    2.0720              SOURCE1       6	
cl-sx  230.4    2.0720              SOURCE1       6	
cl-sy  230.4    2.0720              SOURCE1       6	
c -n2  306.3    1.4200              SOUECE3       1	
c -n4  197.9    1.5460              SOURCE3       4	 0.0388
c -n   356.2    1.3790      SOURCE1_SOURCE5    9463	 0.0137
c -nc  346.0    1.3870         CORR_SOURCE5     179	 0.0121
c -nd  346.0    1.3870         CORR_SOURCE5     179	 0.0121
c -ne  340.7    1.3910         CORR_SOURCE5      87	 0.0140
c -nf  340.7    1.3910         CORR_SOURCE5      87	 0.0140
c -no  201.9    1.5400              SOUECE3       1	
c -o   652.6    1.2180      SOURCE1_SOURCE5   27083	 0.0110
c -oh  383.1    1.3510      SOURCE1_SOURCE5    3610	 0.0055
c -os  372.9    1.3580      SOURCE1_SOURCE5    5555	 0.0163
c -p2  150.0    1.9000              SOUECE3       1	
c -p3  157.1    1.8830              SOURCE3       6	 0.0129
c -p4  158.4    1.8800              SOUECE3       1	
c -p5  157.6    1.8820      SOURCE4_SOURCE5      25	 0.0081
cp-cp  277.6    1.4850      SOURCE1_SOURCE5     728	 0.0059
cp-cq  309.6    1.4540      SOURCE4_SOURCE5      34	 0.0159
c -pe  145.7    1.9110              SOURCE3       3	 0.0025
c -pf  145.7    1.9110              SOURCE3       3	
cp-na  349.5    1.3840              SOURCE4       7	 0.0181
cp-nb  414.7    1.3390      SOURCE4_SOURCE5     190	 0.0068
c -px  148.4    1.9040              SOURCE3       1	
c -py  164.2    1.8670      SOURCE3_SOURCE5      17	 0.0103
cq-cq  277.6    1.4850      SOURCE1_SOURCE5     728	 0.0059
c -s   298.4    1.6720      SOURCE1_SOURCE5     875	 0.0114
c -s4  168.0    1.8700              SOUECE3       1	
c -s6  168.0    1.8700              SOUECE3       1	
c -sh  206.1    1.7970      SOURCE3_SOURCE5      39	 0.0097
c -ss  204.4    1.8000      SOURCE1_SOURCE5     249	 0.0157
c -sx  161.2    1.8850              SOURCE3       5	 0.0088
c -sy  170.3    1.8650              SOURCE3       5	 0.0085
cu-cu  550.8    1.3000               5/2017       2	 0.0001
cu-cx  292.9    1.4700               5/2017      31	 0.0066
cu-ha  409.1    1.0790               5/2017       1	
cv-cv  469.6    1.3410               5/2017       3	 0.0026
cv-cy  245.8    1.5210               5/2017      19	 0.0057
cv-ha  392.0    1.0880               5/2017       3	 0.0001
cv-cx  259.5    1.5050               5/2017       2	 0.0002
cx-cx  256.9    1.5080               5/2017    1577	 0.0100
cx-cy  240.1    1.5280               5/2017       3	 0.0083
cx-f   337.9    1.3610               5/2017       7	 0.0043
cx-h1  390.2    1.0890               5/2017    1132	 0.0013
cx-h2  393.9    1.0870               5/2017       5	 0.0014
cx-hc  393.9    1.0870               5/2017    1658	 0.0009
cx-hx  397.6    1.0850               5/2017      14	 0.0002
cx-n2  273.1    1.4520               5/2017       3	 0.0065
cx-n3  282.0    1.4430               5/2017      23	 0.0030
cx-n   291.2    1.4340               5/2017      15	 0.0035
cx-na  264.6    1.4610               5/2017      38	 0.0029
cx-nh  291.2    1.4340               5/2017      16	 0.0017
cx-oh  322.9    1.3970               5/2017       3	 0.0035
cx-os  313.6    1.4050               5/2017      13	 0.0116
cx-p3  146.0    1.9100               5/2017       1	
cx-s4  162.6    1.8820               5/2017       2	 0.0203
cx-s6  178.0    1.8490               5/2017       2	 0.0016
cx-ss  184.6    1.8360               5/2017       5	 0.0011
cy-cy  217.2    1.5580               5/2017     923	 0.0062
cy-f   343.0    1.3570               5/2017      28	 0.0109
cy-h1  379.3    1.0950               5/2017     460	 0.0018
cy-h2  382.9    1.0930               5/2017     130	 0.0016
cy-hc  379.3    1.0950               5/2017     777	 0.0011
cy-n   292.3    1.4330               5/2017     107	 0.0073
cy-n3  268.4    1.4570               5/2017      20	 0.0060
cy-oh  305.7    1.4120               5/2017      13	 0.0082
cy-os  294.8    1.4220               5/2017      28	 0.0080
cy-s6  177.1    1.8510               5/2017      30	 0.0135
cy-ss  177.6    1.8500               5/2017     100	 0.0087
cz-nh  414.2    1.3390      SOURCE4_SOURCE5      85	 0.0046
f -n1  167.3    1.4100              SOUECE3       1	
f -n2  148.0    1.4440              SOURCE3       5	 0.0377
f -n3  169.8    1.4060              SOURCE1       9	
f -n   175.5    1.3970              SOURCE3       3	 0.0112
f -n4  246.1    1.3080              SOURCE3       2	
f -na  166.7    1.4110              SOURCE3       7	 0.0611
f -nh  157.9    1.4260              SOURCE3       3	 0.0085
f -no  136.5    1.4670              SOURCE2       1	
f -o   198.1    1.3300              SOUECE3       1	
f -oh  129.8    1.4440              SOURCE3       1	
f -os  139.9    1.4230              SOURCE3       2	
f -p2  522.3    1.5360              SOURCE3       7	 0.2054
